PassengerId,Survived,Pclass,Name,Sex,Age,Fare
1,0,3,"Braund, Mr. Owen Harris",male,22.0,7.25
2,1,1,"Cumings, Mrs. John Bradley",female,38.0,71.28
3,1,3,"Heikkinen, Miss. Laina",female,26.0,7.93
4,1,1,"Futrelle, Mrs. Jacques Heath",female,35.0,53.1
5,0,3,"Allen, Mr. William Henry",male,35.0,8.05
6,0,3,"Moran, Mr. James",male,28.11111111111111,8.46
7,0,1,"McCarthy, Mr. Timothy J",male,54.0,51.86
8,0,3,"Palsson, Master. Gosta Leonard",male,2.0,21.08
9,1,3,"Johnson, Mrs. Oscar W",female,27.0,11.13
10,1,2,"Nasser, Mrs. Nicholas",female,14.0,30.07
